PId,IsBumpVirtual,SpeedCondition,TouchId,TouchType,Count
1,0.0,10.0,57.958333333333336,1.0,9.479166666666666
1,0.0,20.0,179.6851851851852,1.0,7.314814814814815
1,0.0,30.0,293.6296296296296,1.0,8.11111111111111
1,0.0,40.0,419.6326530612245,1.0,8.285714285714286
1,0.0,50.0,539.0483870967741,1.0,9.419354838709678
1,1.0,10.0,59.32857142857143,1.0,9.528571428571428
1,1.0,20.0,176.359375,1.0,10.0
1,1.0,30.0,304.2972972972973,1.0,14.18918918918919
1,1.0,40.0,414.05797101449275,1.0,9.608695652173912
1,1.0,50.0,528.8333333333334,1.0,14.314814814814815
3,0.0,10.0,1008.7692307692307,1.0,5.8076923076923075
3,0.0,20.0,1126.4583333333333,1.0,5.861111111111111
3,0.0,30.0,654.3488372093024,1.0,6.0
3,0.0,40.0,775.18,1.0,5.84
3,0.0,50.0,891.95,1.0,5.2875
3,1.0,10.0,1009.8888888888889,1.0,5.746031746031746
3,1.0,20.0,1130.2045454545455,1.0,5.5
3,1.0,30.0,654.4666666666667,1.0,6.533333333333333
3,1.0,40.0,767.3384615384615,1.0,6.092307692307692
3,1.0,50.0,886.25,1.0,5.722222222222222
5,0.0,10.0,1365.0416666666667,1.0,3.8541666666666665
5,0.0,20.0,1484.55223880597,1.0,3.328358208955224
5,0.0,30.0,1603.5483870967741,1.0,3.064516129032258
5,0.0,40.0,1726.709090909091,1.0,3.3636363636363638
5,0.0,50.0,1246.1518987341772,1.0,4.139240506329114
5,1.0,10.0,1366.0285714285715,1.0,4.085714285714285
5,1.0,20.0,1486.4313725490197,1.0,3.2549019607843137
5,1.0,30.0,1605.28,1.0,3.4
5,1.0,40.0,1720.6612903225807,1.0,3.403225806451613
5,1.0,50.0,1247.3589743589744,1.0,4.17948717948718
6,0.0,10.0,1839.34,1.0,4.16
6,0.0,20.0,1960.8474576271187,1.0,4.406779661016949
6,0.0,30.0,2078.0864197530864,1.0,4.666666666666667
6,0.0,40.0,2202.723404255319,1.0,4.531914893617022
6,0.0,50.0,2320.5,1.0,4.6923076923076925
6,1.0,10.0,1843.927536231884,1.0,4.115942028985507
6,1.0,20.0,1961.15,1.0,4.683333333333334
6,1.0,30.0,2083.0,1.0,4.45945945945946
6,1.0,40.0,2196.268656716418,1.0,4.402985074626866
6,1.0,50.0,2315.0923076923077,1.0,4.8307692307692305
7,0.0,10.0,2911.3125,1.0,3.0
7,0.0,20.0,2438.328125,1.0,3.25
7,0.0,30.0,2555.4044943820227,1.0,3.247191011235955
7,0.0,40.0,2675.2978723404253,1.0,3.127659574468085
7,0.0,50.0,2795.455882352941,1.0,3.1176470588235294
7,1.0,10.0,2914.378787878788,1.0,3.196969696969697
7,1.0,20.0,2438.1458333333335,1.0,4.291666666666667
7,1.0,30.0,2555.896551724138,1.0,3.896551724137931
7,1.0,40.0,2673.4242424242425,1.0,3.212121212121212
7,1.0,50.0,2791.3617021276596,1.0,3.404255319148936
8,0.0,10.0,3387.9583333333335,1.0,4.208333333333333
8,0.0,20.0,3507.8076923076924,1.0,4.326923076923077
8,0.0,30.0,3029.7179487179487,1.0,5.012820512820513
8,0.0,40.0,3154.2340425531916,1.0,4.468085106382978
8,0.0,50.0,3274.75,1.0,4.421875
8,1.0,10.0,3389.0285714285715,1.0,4.142857142857143
