PId,IsBumpVirtual,SpeedCondition,TouchId,TouchType,Count
1,0.0,10.0,57.958333333333336,0.0,1.0
1,0.0,20.0,179.6851851851852,0.0,1.0
1,0.0,30.0,293.6296296296296,0.0,1.0
1,0.0,40.0,419.6326530612245,0.0,1.0
1,0.0,50.0,539.0483870967741,0.0,1.0
1,1.0,10.0,59.32857142857143,0.0,1.0
1,1.0,20.0,176.359375,0.0,1.03125
1,1.0,30.0,304.2972972972973,0.0,1.027027027027027
1,1.0,40.0,414.05797101449275,0.0,1.0
1,1.0,50.0,528.8333333333334,0.0,1.0
3,0.0,10.0,1008.7692307692307,0.0,1.0384615384615385
3,0.0,20.0,1126.4583333333333,0.0,1.0694444444444444
3,0.0,30.0,654.3488372093024,0.0,1.0
3,0.0,40.0,775.18,0.0,1.0
3,0.0,50.0,891.95,0.0,1.0
3,1.0,10.0,1009.8888888888889,0.0,1.0317460317460319
3,1.0,20.0,1130.2045454545455,0.0,1.0227272727272727
3,1.0,30.0,654.4666666666667,0.0,1.0
3,1.0,40.0,767.3384615384615,0.0,1.0
3,1.0,50.0,886.25,0.0,1.0
5,0.0,10.0,1365.0416666666667,0.0,1.0
5,0.0,20.0,1484.55223880597,0.0,1.0
5,0.0,30.0,1603.5483870967741,0.0,1.0
5,0.0,40.0,1726.709090909091,0.0,1.0
5,0.0,50.0,1246.1518987341772,0.0,1.0126582278481013
5,1.0,10.0,1366.0285714285715,0.0,1.0
5,1.0,20.0,1486.4313725490197,0.0,1.0
5,1.0,30.0,1605.28,0.0,1.0
5,1.0,40.0,1720.6612903225807,0.0,1.0
5,1.0,50.0,1247.3589743589744,0.0,1.0
6,0.0,10.0,1839.34,0.0,1.0
6,0.0,20.0,1960.8474576271187,0.0,1.0169491525423728
6,0.0,30.0,2078.0864197530864,0.0,1.0
6,0.0,40.0,2202.723404255319,0.0,1.0
6,0.0,50.0,2320.5,0.0,1.0
6,1.0,10.0,1843.927536231884,0.0,1.0289855072463767
6,1.0,20.0,1961.15,0.0,1.0333333333333334
6,1.0,30.0,2083.0,0.0,1.0
6,1.0,40.0,2196.268656716418,0.0,1.0
6,1.0,50.0,2315.0923076923077,0.0,1.0
7,0.0,10.0,2911.3125,0.0,1.0208333333333333
7,0.0,20.0,2438.328125,0.0,1.0
7,0.0,30.0,2555.4044943820227,0.0,1.0112359550561798
7,0.0,40.0,2675.2978723404253,0.0,1.0
7,0.0,50.0,2795.455882352941,0.0,1.0147058823529411
7,1.0,10.0,2914.378787878788,0.0,1.0303030303030303
7,1.0,20.0,2438.1458333333335,0.0,1.125
7,1.0,30.0,2555.896551724138,0.0,1.0
7,1.0,40.0,2673.4242424242425,0.0,1.0
7,1.0,50.0,2791.3617021276596,0.0,1.0425531914893618
8,0.0,10.0,3387.9583333333335,0.0,1.0
8,0.0,20.0,3507.8076923076924,0.0,1.0
8,0.0,30.0,3029.7179487179487,0.0,1.0
8,0.0,40.0,3154.2340425531916,0.0,1.0
8,0.0,50.0,3274.75,0.0,1.0
8,1.0,10.0,3389.0285714285715,0.0,1.0285714285714285
8,1.0,20.0,3508.171875,0.0,1.03125
8,1.0,30.0,3036.325,0.0,1.0
8,1.0,40.0,3148.9718309859154,0.0,1.0
8,1.0,50.0,3265.3333333333335,0.0,1.0185185185185186
9,0.0,10.0,3863.9583333333335,0.0,1.0
9,0.0,20.0,3982.25,0.0,1.0
9,0.0,30.0,4103.864864864865,0.0,1.0
9,0.0,40.0,3627.5416666666665,0.0,1.0416666666666667
9,0.0,50.0,3744.846153846154,0.0,1.0307692307692307
9,1.0,10.0,3865.4411764705883,0.0,1.0588235294117647
9,1.0,20.0,3983.0508474576272,0.0,1.0338983050847457
9,1.0,30.0,4100.829268292683,0.0,1.0
9,1.0,40.0,3630.590163934426,0.0,1.0163934426229508
9,1.0,50.0,3748.5283018867926,0.0,1.0566037735849056
10,0.0,10.0,4219.958333333333,0.0,1.0208333333333333
10,0.0,20.0,4340.021739130435,0.0,1.0
10,0.0,30.0,4574.479166666667,0.0,1.0
10,0.0,40.0,4704.945945945946,0.0,1.0
10,0.0,50.0,4458.725,0.0,1.0
10,1.0,10.0,4221.80303030303,0.0,1.0
10,1.0,20.0,4332.688888888889,0.0,1.0
10,1.0,30.0,4580.985507246377,0.0,1.0
10,1.0,40.0,4701.95,0.0,1.0
10,1.0,50.0,4460.0,0.0,1.0227272727272727
11,0.0,10.0,5050.688888888889,0.0,1.0
11,0.0,20.0,4815.34,0.0,1.0
11,0.0,30.0,4931.038461538462,0.0,1.0192307692307692
11,0.0,40.0,5173.878048780488,0.0,1.0731707317073171
11,0.0,50.0,5289.368421052632,0.0,1.0
11,1.0,10.0,5054.985294117647,0.0,1.1176470588235294
11,1.0,20.0,4817.530303030303,0.0,1.0454545454545454
11,1.0,30.0,4936.035087719299,0.0,1.0175438596491229
11,1.0,40.0,5172.283333333334,0.0,1.0166666666666666
11,1.0,50.0,5292.309090909091,0.0,1.018181818181818
12,0.0,10.0,5645.958333333333,0.0,1.0
12,0.0,20.0,5885.131147540984,0.0,1.0
12,0.0,30.0,5409.681818181818,0.0,1.0
12,0.0,40.0,5531.0,0.0,1.0
12,0.0,50.0,5766.917808219178,0.0,1.0
12,1.0,10.0,5647.704225352113,0.0,1.0
12,1.0,20.0,5885.315789473684,0.0,1.0175438596491229
12,1.0,30.0,5407.064516129032,0.0,1.0
12,1.0,40.0,5526.217391304348,0.0,1.0144927536231885
12,1.0,50.0,5763.266666666666,0.0,1.0
13,0.0,10.0,6360.918367346939,0.0,1.0
13,0.0,20.0,6480.4655172413795,0.0,1.0
13,0.0,30.0,6243.957142857143,0.0,1.0
13,0.0,40.0,6005.84,0.0,1.0
13,0.0,50.0,6125.35593220339,0.0,1.0
13,1.0,10.0,6361.898550724638,0.0,1.0
13,1.0,20.0,6479.116666666667,0.0,1.0166666666666666
13,1.0,30.0,6238.979166666667,0.0,1.0416666666666667
13,1.0,40.0,5997.9473684210525,0.0,1.0
13,1.0,50.0,6119.396551724138,0.0,1.0
14,0.0,10.0,6716.139534883721,0.0,1.0
14,0.0,20.0,6953.785714285715,0.0,1.0238095238095237
14,0.0,30.0,7074.294117647059,0.0,1.0
14,0.0,40.0,6837.395348837209,0.0,1.0232558139534884
14,0.0,50.0,6597.71186440678,0.0,1.0
14,1.0,10.0,6718.626865671642,0.0,1.0149253731343284
14,1.0,20.0,6954.079365079365,0.0,1.0
14,1.0,30.0,7073.409090909091,0.0,1.0454545454545454
14,1.0,40.0,6833.3442622950815,0.0,1.0327868852459017
14,1.0,50.0,6599.517857142857,0.0,1.0
15,0.0,10.0,7650.857142857143,0.0,1.0285714285714285
15,0.0,20.0,7534.366666666667,0.0,1.0333333333333334
15,0.0,30.0,7308.303571428572,0.0,1.0357142857142858
15,0.0,40.0,7196.268292682927,0.0,1.0
15,0.0,50.0,7427.4,0.0,1.0
15,1.0,10.0,7655.34375,0.0,1.046875
15,1.0,20.0,7541.16,0.0,1.14
15,1.0,30.0,7315.172413793103,0.0,1.103448275862069
15,1.0,40.0,7189.824561403509,0.0,1.0350877192982457
15,1.0,50.0,7424.660714285715,0.0,1.0535714285714286
16,0.0,10.0,8011.260869565217,0.0,1.0217391304347827
16,0.0,20.0,8248.117647058823,0.0,1.0
16,0.0,30.0,8127.986842105263,0.0,1.0263157894736843
16,0.0,40.0,7895.0,0.0,1.0
16,0.0,50.0,7772.726027397261,0.0,1.36986301369863
16,1.0,10.0,8012.557142857143,0.0,1.1
16,1.0,20.0,8247.79365079365,0.0,1.0317460317460319
16,1.0,30.0,8132.658536585366,0.0,1.0731707317073171
16,1.0,40.0,7891.6875,0.0,1.015625
16,1.0,50.0,7776.921052631579,0.0,1.2894736842105263
17,0.0,10.0,8366.134615384615,0.0,1.0
17,0.0,20.0,8601.884057971014,0.0,1.0
17,0.0,30.0,8837.193181818182,0.0,1.0
17,0.0,40.0,8718.068181818182,0.0,1.0
17,0.0,50.0,8486.68115942029,0.0,1.0144927536231885
17,1.0,10.0,8370.234375,0.0,1.15625
17,1.0,20.0,8607.333333333334,0.0,1.0222222222222221
17,1.0,30.0,8850.84,0.0,1.04
17,1.0,40.0,8721.568965517241,0.0,1.0172413793103448
17,1.0,50.0,8488.377777777778,0.0,1.0222222222222221
18,0.0,10.0,9079.106382978724,0.0,1.0
18,0.0,20.0,8962.616666666667,0.0,1.0
18,0.0,30.0,9189.661538461538,0.0,1.0
18,0.0,40.0,9440.139534883721,0.0,1.0
18,0.0,50.0,9315.38596491228,0.0,1.0
18,1.0,10.0,9077.597014925374,0.0,1.0
18,1.0,20.0,8957.655172413793,0.0,1.0
18,1.0,30.0,9203.09677419355,0.0,1.064516129032258
18,1.0,40.0,9427.148148148148,0.0,1.0
18,1.0,50.0,9317.283018867925,0.0,1.0
