PId,IsBump,SpeedCondition,VisualStimuliId,TouchId,TCT
1,0.0,10.0,0,22.0,1269.0
1,0.0,10.0,1,101.0,1382.0
1,0.0,10.0,2,31.333333333333332,1161.6666666666667
1,0.0,10.0,3,30.0,1138.5
1,0.0,10.0,4,63.333333333333336,1087.3333333333333
1,0.0,10.0,5,44.0,1756.0
1,0.0,10.0,6,48.0,1155.5
1,0.0,10.0,7,74.0,1297.0
1,0.0,10.0,8,58.0,1289.0
1,0.0,10.0,9,95.5,1164.0
1,0.0,10.0,10,11.0,1132.0
1,0.0,10.0,11,12.0,1189.0
1,0.0,10.0,12,14.0,1136.0
1,0.0,10.0,13,63.5,1055.5
1,0.0,10.0,14,25.5,1337.5
1,0.0,10.0,16,60.0,1037.0
1,0.0,10.0,17,54.0,1030.0
1,0.0,10.0,18,34.0,1098.3333333333333
1,0.0,10.0,20,59.5,1276.5
1,0.0,10.0,21,92.5,1424.5
1,0.0,10.0,22,72.0,1473.0
1,0.0,10.0,23,46.5,1222.0
1,0.0,10.0,25,50.0,1332.0
1,0.0,10.0,26,82.5,1264.0
1,0.0,10.0,27,86.0,1246.6666666666667
1,0.0,10.0,28,92.0,1163.0
1,0.0,10.0,29,92.5,1063.0
1,0.0,20.0,0,159.0,1229.0
1,0.0,20.0,1,160.33333333333334,1282.6666666666667
1,0.0,20.0,3,162.66666666666666,1114.6666666666667
1,0.0,20.0,4,123.0,962.0
1,0.0,20.0,6,210.33333333333334,1217.6666666666667
1,0.0,20.0,7,179.0,1152.0
1,0.0,20.0,8,216.5,1211.0
1,0.0,20.0,9,163.5,1004.5
1,0.0,20.0,10,162.0,1085.0
1,0.0,20.0,11,218.0,1240.0
1,0.0,20.0,12,147.0,1075.0
1,0.0,20.0,14,231.0,1401.5
1,0.0,20.0,15,160.0,1101.0
1,0.0,20.0,16,142.0,941.0
1,0.0,20.0,17,152.0,1165.0
1,0.0,20.0,18,191.5,1066.0
1,0.0,20.0,19,172.5,1193.0
1,0.0,20.0,20,227.0,1115.0
1,0.0,20.0,21,138.0,1167.5
1,0.0,20.0,22,133.0,1290.0
1,0.0,20.0,23,199.0,1166.0
1,0.0,20.0,24,158.0,1331.0
1,0.0,20.0,25,166.5,984.5
1,0.0,20.0,26,196.0,1075.0
1,0.0,20.0,27,172.5,1860.5
1,0.0,20.0,28,199.33333333333334,1211.0
1,0.0,30.0,0,323.0,1550.0
1,0.0,30.0,1,342.0,1170.0
1,0.0,30.0,2,338.0,1271.0
1,0.0,30.0,4,294.0,1142.5
1,0.0,30.0,5,295.0,1205.0
1,0.0,30.0,6,305.0,969.0
1,0.0,30.0,7,283.0,1101.0
1,0.0,30.0,9,306.5,1066.25
1,0.0,30.0,10,238.0,1448.0
1,0.0,30.0,12,282.3333333333333,1167.3333333333333
1,0.0,30.0,13,265.0,977.0
1,0.0,30.0,14,355.0,1212.0
1,0.0,30.0,16,247.0,1121.0
1,0.0,30.0,18,279.0,1021.0
1,0.0,30.0,19,328.0,2057.0
1,0.0,30.0,20,243.0,1313.0
1,0.0,30.0,21,292.5,1073.0
1,0.0,30.0,22,294.5,1174.5
1,0.0,30.0,23,315.25,1168.5
1,0.0,30.0,24,301.6666666666667,1228.0
1,0.0,30.0,25,290.0,1066.5
1,0.0,30.0,26,319.0,1458.0
1,0.0,30.0,27,263.5,1269.0
1,0.0,30.0,28,257.0,1042.5
1,0.0,30.0,29,275.0,1153.5
1,0.0,40.0,0,434.5,1260.0
1,0.0,40.0,1,395.0,1665.5
1,0.0,40.0,2,396.0,1064.0
1,0.0,40.0,3,411.0,1139.0
1,0.0,40.0,4,429.0,1031.0
1,0.0,40.0,5,399.0,1106.6666666666667
1,0.0,40.0,6,415.0,995.0
1,0.0,40.0,7,447.0,1078.3333333333333
1,0.0,40.0,8,403.5,1164.0
1,0.0,40.0,9,414.0,1006.6666666666666
1,0.0,40.0,10,433.0,924.0
1,0.0,40.0,11,380.0,1007.0
1,0.0,40.0,12,406.0,1077.0
1,0.0,40.0,13,363.0,827.0
1,0.0,40.0,14,408.5,1072.5
1,0.0,40.0,17,364.0,851.0
1,0.0,40.0,18,428.0,1071.0
1,0.0,40.0,19,413.0,1240.3333333333333
1,0.0,40.0,20,442.5,1190.5
1,0.0,40.0,22,440.5,1002.0
1,0.0,40.0,24,413.0,1142.5
1,0.0,40.0,26,451.0,1145.6666666666667
1,0.0,40.0,27,441.0,1098.0
1,0.0,40.0,28,452.0,1336.0
1,0.0,40.0,29,422.6666666666667,1033.6666666666667
1,0.0,50.0,0,544.3333333333334,1314.0
1,0.0,50.0,1,522.0,1437.0
1,0.0,50.0,2,571.0,1113.0
1,0.0,50.0,4,526.0,1106.0
1,0.0,50.0,5,554.0,1126.0
1,0.0,50.0,6,554.5,1206.0
1,0.0,50.0,7,549.5,1230.0
1,0.0,50.0,8,557.0,1342.0
1,0.0,50.0,9,541.0,1154.0
1,0.0,50.0,10,534.0,1180.0
1,0.0,50.0,11,556.5,1218.0
1,0.0,50.0,12,501.0,1213.5
1,0.0,50.0,13,485.0,1110.0
1,0.0,50.0,14,496.0,1328.0
1,0.0,50.0,15,554.0,1216.0
1,0.0,50.0,16,554.5,1058.0
1,0.0,50.0,17,508.0,1035.0
1,0.0,50.0,20,573.0,1173.0
1,0.0,50.0,21,494.0,1250.0
1,0.0,50.0,22,484.0,1797.5
1,0.0,50.0,23,491.0,1133.0
1,0.0,50.0,24,559.0,1104.5
1,0.0,50.0,26,535.3333333333334,1032.0
1,0.0,50.0,28,534.0,1140.0
1,0.0,50.0,29,527.0,1183.25
1,1.0,10.0,0,26.333333333333332,1442.3333333333333
1,1.0,10.0,1,44.0,1415.3333333333333
1,1.0,10.0,2,18.0,1240.0
1,1.0,10.0,3,60.0,1290.5
1,1.0,10.0,4,47.0,1149.0
1,1.0,10.0,5,51.0,1133.3333333333333
1,1.0,10.0,6,61.0,1055.5
1,1.0,10.0,7,66.0,1213.0
